Season,Team,OriginalPosition,NewPosition,PositionChange,OriginalPoints,NewPoints,ZeroZeroDraws,GoalDifference
1993-94,Man United,1,1,0,92,89,3,42
1993-94,Blackburn,2,2,0,84,82,2,27
1993-94,Newcastle,3,3,0,77,76,1,41
1993-94,Leeds,5,4,1,70,66,4,26
1993-94,Arsenal,4,5,-1,71,64,7,25
1993-94,Wimbledon,6,6,0,65,64,1,3
1993-94,Sheffield Weds,7,7,0,64,61,3,22
1993-94,Liverpool,8,8,0,60,58,2,4
1993-94,QPR,9,9,0,60,58,2,1
1993-94,Aston Villa,10,10,0,57,51,6,-4
1993-94,Coventry,11,11,0,56,50,6,-2
1993-94,Norwich,12,12,0,53,49,4,4
1993-94,Chelsea,14,13,1,51,49,2,-4
1993-94,Tottenham,15,14,1,45,45,0,-5
1993-94,West Ham,13,15,-2,52,45,7,-11
1993-94,Southampton,18,16,2,43,41,2,-17
1993-94,Everton,17,17,0,44,40,4,-21
1993-94,Man City,16,18,-2,45,38,7,-11
1993-94,Ipswich,19,19,0,43,36,7,-23
1993-94,Oldham,21,20,1,40,36,4,-26
1993-94,Sheffield United,20,21,-1,42,33,9,-18
1993-94,Swindon,22,22,0,30,27,3,-53
1994-95,Blackburn,1,1,0,89,86,3,41
1994-95,Man United,2,2,0,88,84,4,49
1994-95,Nott'm Forest,3,3,0,77,75,2,29
1994-95,Liverpool,4,4,0,74,68,6,28
1994-95,Leeds,5,5,0,73,66,7,21
1994-95,Newcastle,6,6,0,72,66,6,20
1994-95,QPR,8,7,1,60,58,2,2
1994-95,Tottenham,7,8,-1,62,57,5,8
1994-95,Wimbledon,9,9,0,56,51,5,-17
1994-95,Chelsea,11,10,1,54,50,4,-5
1994-95,Southampton,10,11,-1,54,49,5,-2
1994-95,West Ham,14,12,2,50,47,3,-4
1994-95,Arsenal,12,13,-1,51,45,6,3
1994-95,Sheffield Weds,13,14,-1,51,45,6,-8
1994-95,Man City,17,15,2,49,45,4,-11
1994-95,Coventry,16,16,0,50,44,6,-18
1994-95,Aston Villa,18,17,1,48,43,5,-5
1994-95,Everton,15,18,-3,50,42,8,-7
1994-95,Crystal Palace,19,19,0,45,37,8,-15
1994-95,Norwich,20,20,0,43,37,6,-17
1994-95,Leicester,21,21,0,29,28,1,-35
1994-95,Ipswich,22,22,0,27,27,0,-57
1995-96,Man United,1,1,0,82,80,2,38
1995-96,Newcastle,2,2,0,78,78,0,29
1995-96,Liverpool,3,3,0,71,67,4,36
1995-96,Aston Villa,4,4,0,63,61,2,17
1995-96,Everton,6,5,1,61,59,2,20
1995-96,Blackburn,7,6,1,61,59,2,14
1995-96,Arsenal,5,7,-2,63,58,5,17
1995-96,Tottenham,8,8,0,61,56,5,12
1995-96,Nott'm Forest,9,9,0,58,56,2,-4
1995-96,West Ham,10,10,0,51,49,2,-9
1995-96,Chelsea,11,11,0,50,45,5,2
1995-96,Leeds,13,12,1,43,40,3,-17
1995-96,Wimbledon,14,13,1,41,39,2,-15
1995-96,Middlesbrough,12,14,-2,43,39,4,-15
1995-96,Sheffield Weds,15,15,0,40,37,3,-13
1995-96,Man City,18,16,2,38,37,1,-25
1995-96,Coventry,16,17,-1,38,33,5,-18
1995-96,Southampton,17,18,-1,38,33,5,-18
1995-96,QPR,19,19,0,33,33,0,-19
1995-96,Bolton,20,20,0,29,29,0,-32
1996-97,Man United,1,1,0,75,72,3,32
1996-97,Newcastle,2,2,0,68,65,3,33
1996-97,Liverpool,4,3,1,68,65,3,25
1996-97,Arsenal,3,4,-1,68,64,4,30
1996-97,Chelsea,6,5,1,59,57,2,3
1996-97,Aston Villa,5,6,-1,61,56,5,13
1996-97,Wimbledon,8,7,1,56,54,2,3
1996-97,Sheffield Weds,7,8,-1,57,52,5,-1
1996-97,Leicester,9,9,0,47,44,3,-8
1996-97,Tottenham,10,10,0,46,43,3,-7
1996-97,Derby,12,11,1,46,42,4,-13
1996-97,Everton,16,12,4,42,39,3,-13
1996-97,Southampton,17,13,4,41,38,3,-6
1996-97,Middlesbrough,15,14,1,42,38,4,-9
1996-97,Leeds,11,15,-4,46,37,9,-10
1996-97,Blackburn,13,16,-3,42,36,6,-1
1996-97,West Ham,14,17,-3,42,36,6,-9
1996-97,Sunderland,19,18,1,40,36,4,-18
1996-97,Coventry,18,19,-1,41,35,6,-16
1996-97,Nott'm Forest,20,20,0,34,30,4,-28
1997-98,Man United,2,1,1,77,75,2,47
1997-98,Arsenal,1,2,-1,78,74,4,35
1997-98,Liverpool,3,3,0,65,63,2,26
1997-98,Chelsea,4,4,0,63,62,1,28
1997-98,Leeds,5,5,0,59,56,3,11
1997-98,Aston Villa,7,6,1,57,56,1,1
1997-98,West Ham,8,7,1,56,54,2,-1
1997-98,Blackburn,6,8,-2,58,53,5,5
1997-98,Derby,9,9,0,55,51,4,3
1997-98,Leicester,10,10,0,53,49,4,10
1997-98,Southampton,12,11,1,48,47,1,-5
1997-98,Coventry,11,12,-1,52,46,6,2
1997-98,Sheffield Weds,16,13,3,44,42,2,-15
1997-98,Tottenham,15,14,1,44,41,3,-12
1997-98,Newcastle,13,15,-2,44,39,5,-9
1997-98,Wimbledon,14,16,-2,44,36,8,-12
1997-98,Bolton,18,17,1,40,35,5,-20
1997-98,Barnsley,19,18,1,35,35,0,-45
1997-98,Everton,17,19,-2,40,34,6,-15
1997-98,Crystal Palace,20,20,0,33,31,2,-34
1998-99,Man United,1,1,0,79,75,4,43
1998-99,Arsenal,2,2,0,78,71,7,42
1998-99,Chelsea,3,3,0,75,69,6,27
1998-99,Leeds,4,4,0,67,62,5,28
1998-99,Liverpool,7,5,2,54,50,4,19
1998-99,West Ham,5,6,-1,57,50,7,-7
1998-99,Aston Villa,6,7,-1,55,49,6,5
1998-99,Derby,8,8,0,52,46,6,-5
1998-99,Leicester,10,9,1,49,45,4,-6
1998-99,Middlesbrough,9,10,-1,51,45,6,-6
1998-99,Newcastle,13,11,2,46,43,3,-6
1998-99,Sheffield Weds,12,12,0,46,42,4,-1
1998-99,Tottenham,11,13,-2,47,42,5,-3
1998-99,Coventry,15,14,1,42,39,3,-12
1998-99,Wimbledon,16,15,1,42,38,4,-23
1998-99,Southampton,17,16,1,41,38,3,-27
1998-99,Everton,14,17,-3,43,35,8,-5
1998-99,Charlton,18,18,0,36,31,5,-15
1998-99,Blackburn,19,19,0,35,29,6,-14
1998-99,Nott'm Forest,20,20,0,30,28,2,-34
1999-00,Man United,1,1,0,91,91,0,52
1999-00,Arsenal,2,2,0,73,71,2,30
1999-00,Leeds,3,3,0,69,66,3,15
1999-00,Liverpool,4,4,0,67,62,5,21
1999-00,Chelsea,5,5,0,65,62,3,19
1999-00,Sunderland,7,6,1,58,57,1,1
1999-00,Leicester,8,7,1,55,55,0,0
1999-00,Aston Villa,6,8,-2,58,54,4,11
1999-00,Tottenham,10,9,1,53,52,1,8
1999-00,West Ham,9,10,-1,55,51,4,-1
1999-00,Newcastle,11,11,0,52,50,2,9
1999-00,Middlesbrough,12,12,0,52,49,3,-6
1999-00,Everton,13,13,0,50,47,3,10
1999-00,Southampton,15,14,1,44,42,2,-17
1999-00,Coventry,14,15,-1,44,41,3,-7
1999-00,Bradford,17,16,1,36,35,1,-30
1999-00,Derby,16,17,-1,38,34,4,-13
1999-00,Wimbledon,18,18,0,33,32,1,-28
1999-00,Sheffield Weds,19,19,0,31,30,1,-32
1999-00,Watford,20,20,0,24,23,1,-42
2000-01,Man United,1,1,0,80,80,0,48
2000-01,Liverpool,3,2,1,69,68,1,32
2000-01,Arsenal,2,3,-1,70,66,4,25
2000-01,Leeds,4,4,0,68,66,2,21
2000-01,Ipswich,5,5,0,66,66,0,15
2000-01,Chelsea,6,6,0,61,59,2,23
2000-01,Sunderland,7,7,0,57,53,4,5
2000-01,Aston Villa,8,8,0,54,49,5,3
2000-01,Newcastle,11,9,2,51,49,2,-6
2000-01,Charlton,9,10,-1,52,49,3,-7
2000-01,Southampton,10,11,-1,52,49,3,-8
2000-01,Leicester,13,12,1,48,44,4,-12
2000-01,Tottenham,12,13,-1,49,42,7,-7
2000-01,Everton,16,14,2,42,41,1,-14
2000-01,West Ham,15,15,0,42,40,2,-5
2000-01,Middlesbrough,14,16,-2,42,38,4,0
2000-01,Derby,17,17,0,42,38,4,-22
2000-01,Man City,18,18,0,34,32,2,-24
2000-01,Coventry,19,19,0,34,31,3,-27
2000-01,Bradford,20,20,0,26,23,3,-40
2001-02,Arsenal,1,1,0,87,87,0,43
2001-02,Liverpool,2,2,0,80,79,1,37
2001-02,Man United,3,3,0,77,76,1,42
2001-02,Newcastle,4,4,0,71,70,1,22
2001-02,Leeds,5,5,0,66,60,6,16
2001-02,Chelsea,6,6,0,64,58,6,28
2001-02,West Ham,7,7,0,53,51,2,-9
2001-02,Tottenham,9,8,1,50,49,1,-4
2001-02,Aston Villa,8,9,-1,50,44,6,-1
2001-02,Southampton,11,10,1,45,44,1,-8
2001-02,Blackburn,10,11,-1,46,43,3,4
2001-02,Middlesbrough,12,12,0,45,41,4,-12
2001-02,Charlton,14,13,1,44,38,6,-11
2001-02,Everton,15,14,1,43,38,5,-12
2001-02,Sunderland,17,15,2,40,38,2,-22
2001-02,Fulham,13,16,-3,44,36,8,-8
2001-02,Bolton,16,17,-1,40,36,4,-18
2001-02,Ipswich,18,18,0,36,32,4,-23
2001-02,Derby,19,19,0,30,28,2,-30
2001-02,Leicester,20,20,0,28,23,5,-34
2002-03,Man United,1,1,0,83,83,0,40
2002-03,Arsenal,2,2,0,78,78,0,43
2002-03,Newcastle,3,3,0,69,69,0,15
2002-03,Chelsea,4,4,0,67,64,3,30
2002-03,Liverpool,5,5,0,64,62,2,20
2002-03,Blackburn,6,6,0,60,56,4,9
2002-03,Everton,7,7,0,59,56,3,-1
2002-03,Man City,9,8,1,51,49,2,-7
2002-03,Tottenham,10,9,1,50,49,1,-11
2002-03,Southampton,8,10,-2,52,48,4,-3
2002-03,Charlton,12,11,1,49,48,1,-11
2002-03,Middlesbrough,11,12,-1,49,47,2,4
2002-03,Birmingham,13,13,0,48,47,1,-8
2002-03,Leeds,15,14,1,47,45,2,1
2002-03,Fulham,14,15,-1,48,45,3,-9
2002-03,Aston Villa,16,16,0,45,42,3,-5
2002-03,Bolton,17,17,0,44,40,4,-10
2002-03,West Ham,18,18,0,42,40,2,-17
2002-03,West Brom,19,19,0,26,24,2,-36
2002-03,Sunderland,20,20,0,19,16,3,-44
2003-04,Arsenal,1,1,0,90,86,4,47
2003-04,Chelsea,2,2,0,79,75,4,37
2003-04,Man United,3,3,0,75,73,2,29
2003-04,Liverpool,4,4,0,60,54,6,18
2003-04,Newcastle,5,5,0,56,51,5,12
2003-04,Aston Villa,6,6,0,56,51,5,4
2003-04,Charlton,7,7,0,53,50,3,0
2003-04,Bolton,8,8,0,53,50,3,-8
2003-04,Fulham,9,9,0,52,46,6,6
2003-04,Blackburn,15,10,5,44,44,0,-8
2003-04,Birmingham,10,11,-1,50,43,7,-5
2003-04,Portsmouth,13,12,1,45,42,3,-7
2003-04,Middlesbrough,11,13,-2,48,42,6,-8
2003-04,Tottenham,14,14,0,45,42,3,-10
2003-04,Southampton,12,15,-3,47,41,6,-1
2003-04,Man City,16,16,0,41,37,4,1
2003-04,Everton,17,17,0,39,34,5,-12
2003-04,Leeds,20,18,2,33,31,2,-39
2003-04,Leicester,18,19,-1,33,29,4,-17
2003-04,Wolves,19,20,-1,33,29,4,-39
2004-05,Chelsea,1,1,0,95,91,4,57
2004-05,Arsenal,2,2,0,83,82,1,51
2004-05,Man United,3,3,0,77,71,6,32
2004-05,Everton,4,4,0,61,59,2,-1
2004-05,Liverpool,5,5,0,58,57,1,11
2004-05,Bolton,6,6,0,58,57,1,5
2004-05,Middlesbrough,7,7,0,55,53,2,7
2004-05,Man City,8,8,0,52,48,4,8
2004-05,Tottenham,9,9,0,52,48,4,6
2004-05,Aston Villa,10,10,0,47,44,3,-7
2004-05,Fulham,13,11,2,44,43,1,-8
2004-05,Birmingham,12,12,0,45,42,3,-6
2004-05,Charlton,11,13,-2,46,42,4,-16
2004-05,Newcastle,14,14,0,44,41,3,-10
2004-05,Portsmouth,16,15,1,39,38,1,-16
2004-05,Blackburn,15,16,-1,42,36,6,-11
2004-05,West Brom,17,17,0,34,31,3,-25
2004-05,Crystal Palace,18,18,0,33,30,3,-21
2004-05,Norwich,19,19,0,33,30,3,-35
2004-05,Southampton,20,20,0,32,27,5,-21
2005-06,Chelsea,1,1,0,91,90,1,50
2005-06,Man United,2,2,0,83,79,4,38
2005-06,Liverpool,3,3,0,82,78,4,32
2005-06,Arsenal,4,4,0,67,64,3,37
2005-06,Tottenham,5,5,0,65,62,3,15
2005-06,Blackburn,6,6,0,63,59,4,9
2005-06,Newcastle,7,7,0,58,54,4,5
2005-06,Bolton,8,8,0,56,52,4,8
2005-06,West Ham,9,9,0,55,52,3,-3
2005-06,Wigan,10,10,0,51,51,0,-7
2005-06,Everton,11,11,0,50,48,2,-15
2005-06,Fulham,12,12,0,48,45,3,-10
2005-06,Middlesbrough,14,13,1,45,42,3,-10
2005-06,Charlton,13,14,-1,47,41,6,-14
2005-06,Man City,15,15,0,43,40,3,-5
2005-06,Aston Villa,16,16,0,42,37,5,-13
2005-06,Portsmouth,17,17,0,38,37,1,-25
2005-06,Birmingham,18,18,0,34,30,4,-22
2005-06,West Brom,19,19,0,30,25,5,-27
2005-06,Sunderland,20,20,0,15,13,2,-43
2006-07,Man United,1,1,0,89,88,1,56
2006-07,Chelsea,2,2,0,83,80,3,40
2006-07,Arsenal,4,3,1,68,66,2,28
2006-07,Liverpool,3,4,-1,68,63,5,30
2006-07,Tottenham,5,5,0,60,58,2,3
2006-07,Everton,6,6,0,58,56,2,16
2006-07,Bolton,7,7,0,56,54,2,-5
2006-07,Reading,8,8,0,55,52,3,5
2006-07,Blackburn,10,9,1,52,51,1,-2
2006-07,Portsmouth,9,10,-1,54,48,6,3
2006-07,Aston Villa,11,11,0,50,45,5,2
2006-07,Middlesbrough,12,12,0,46,41,5,-5
2006-07,West Ham,15,13,2,41,40,1,-24
2006-07,Newcastle,13,14,-1,43,38,5,-9
2006-07,Wigan,17,15,2,38,36,2,-22
2006-07,Sheffield United,18,16,2,38,36,2,-23
2006-07,Man City,14,17,-3,42,35,7,-15
2006-07,Fulham,16,18,-2,39,35,4,-22
2006-07,Charlton,19,19,0,34,30,4,-26
2006-07,Watford,20,20,0,28,22,6,-30
2007-08,Man United,1,1,0,87,86,1,58
2007-08,Chelsea,2,2,0,85,82,3,39
2007-08,Arsenal,3,3,0,83,81,2,43
2007-08,Liverpool,4,4,0,76,71,5,39
2007-08,Everton,5,5,0,65,62,3,22
2007-08,Aston Villa,6,6,0,60,59,1,20
2007-08,Blackburn,7,7,0,58,54,4,2
2007-08,Portsmouth,8,8,0,57,51,6,8
2007-08,Man City,9,9,0,55,51,4,-8
2007-08,West Ham,10,10,0,49,48,1,-8
2007-08,Tottenham,11,11,0,46,45,1,5
2007-08,Middlesbrough,13,12,1,42,41,1,-10
2007-08,Newcastle,12,13,-1,43,40,3,-20
2007-08,Sunderland,15,14,1,39,38,1,-23
2007-08,Wigan,14,15,-1,40,37,3,-17
2007-08,Birmingham,19,16,3,35,34,1,-16
2007-08,Bolton,16,17,-1,37,33,4,-18
2007-08,Fulham,17,18,-1,36,33,3,-22
2007-08,Reading,18,19,-1,36,33,3,-25
2007-08,Derby,20,20,0,11,9,2,-69
2008-09,Man United,1,1,0,90,87,3,44
2008-09,Liverpool,2,2,0,86,81,5,50
2008-09,Chelsea,3,3,0,83,79,4,44
2008-09,Arsenal,4,4,0,72,67,5,31
2008-09,Everton,5,5,0,63,58,5,18
2008-09,Aston Villa,6,6,0,62,57,5,6
